epoch,train_loss,validation_loss
1,0.4992,0.409707
2,0.412286,0.386564
3,0.393614,0.374416
4,0.378459,0.351337
5,0.368627,0.348675
6,0.363335,0.352268
7,0.358058,0.341262
8,0.355554,0.339074
9,0.35287,0.345092
10,0.349981,0.351719
11,0.349046,0.345101
12,0.3444,0.343705
13,0.341918,0.343009
14,0.341069,0.352874
15,0.338365,0.337311
16,0.3363,0.361672
17,0.333762,0.344137
18,0.331193,0.344603
19,0.329948,0.353979
20,0.327918,0.349275
21,0.323988,0.344836
22,0.321509,0.353422
23,0.318839,0.360307
24,0.317052,0.354173
25,0.313208,0.360226
