epoch,train_loss,validation_loss
1,0.561135,0.426784
2,0.419798,0.40172
3,0.405369,0.38449
4,0.393998,0.374798
5,0.385479,0.368882
6,0.377531,0.364063
7,0.371779,0.355698
8,0.366235,0.353453
9,0.363408,0.347835
10,0.358276,0.351111
11,0.35573,0.342239
12,0.352545,0.342698
13,0.350993,0.348088
14,0.349261,0.341938
15,0.348245,0.344715
16,0.34652,0.342158
17,0.34422,0.343038
18,0.342621,0.3468
19,0.341423,0.345333
20,0.339817,0.35163
21,0.33849,0.342912
22,0.336783,0.340996
23,0.335656,0.345974
24,0.333781,0.352033
25,0.332498,0.342264
26,0.331047,0.355908
27,0.328995,0.346609
28,0.32825,0.347464
29,0.326505,0.354764
30,0.325453,0.356263
31,0.323382,0.359736
32,0.322022,0.351413
