epoch,train_loss,validation_loss
1,0.533033,0.426199
2,0.424247,0.409074
3,0.411476,0.398087
4,0.40314,0.386217
5,0.391382,0.37169
6,0.381919,0.371049
7,0.374237,0.361748
8,0.368626,0.348865
9,0.365469,0.347605
10,0.361769,0.348244
11,0.360411,0.34395
12,0.358573,0.343325
13,0.356192,0.343755
14,0.354671,0.344301
15,0.352999,0.342016
16,0.352115,0.344453
17,0.350166,0.350721
18,0.348531,0.344254
19,0.3482,0.345417
20,0.346259,0.340436
21,0.345366,0.345232
22,0.343896,0.344438
23,0.343499,0.34522
24,0.34166,0.344769
25,0.340489,0.343636
26,0.339628,0.342306
27,0.339487,0.351394
28,0.337849,0.345898
29,0.337266,0.343188
30,0.335602,0.347068
