epoch,train_loss,validation_loss
1,0.518723,0.41289
2,0.426897,0.39071
3,0.408388,0.382164
4,0.395215,0.3664
5,0.385236,0.352511
6,0.377262,0.34933
7,0.372984,0.348892
8,0.365832,0.349465
9,0.36373,0.35523
10,0.362054,0.345848
11,0.355918,0.352645
12,0.354818,0.344084
13,0.353244,0.343952
14,0.350626,0.346893
15,0.346934,0.360443
16,0.344788,0.350258
17,0.344735,0.353904
18,0.340754,0.345811
19,0.340369,0.348225
20,0.336228,0.352346
21,0.336697,0.350787
22,0.333399,0.351945
23,0.332454,0.359497
