epoch,train_loss,validation_loss
1,0.521294,0.420521
2,0.417326,0.39183
3,0.396101,0.370022
4,0.378348,0.355204
5,0.368991,0.345396
6,0.363568,0.341233
7,0.359725,0.344411
8,0.356881,0.344124
9,0.355379,0.34459
10,0.352255,0.342765
11,0.349811,0.34397
12,0.346455,0.347014
13,0.346024,0.34063
14,0.342557,0.343851
15,0.341319,0.347395
16,0.339308,0.344912
17,0.337954,0.351152
18,0.334843,0.348992
19,0.334936,0.357113
20,0.333369,0.348099
21,0.330493,0.352442
22,0.329295,0.347197
23,0.327475,0.352598
